1,_,白嫩,使用体验,正面
1,_,不错,整体,正面
1,_,是正品,真伪,正面
2,颜色,明显,功效,正面
2,_,喜欢,整体,负面
2,_,还有,整体,正面
3,_,挺细腻的,使用体验,正面
3,今天,用上,整体,正面
4,_,还行,整体,正面
5,效果,不错,功效,正面
5,_,用上,整体,正面
6,_,很细腻,使用体验,正面
6,提亮,很好,功效,正面
7,_,建议,整体,正面
7,_,很喜欢,整体,正面
7,_,特别好用,整体,正面
7,_,购买,整体,正面
8,客户,老,整体,正面
9,_,好,整体,正面
9,购物,愉快,整体,正面
9,_,还可以,整体,正面
9,购物,选,整体,正面
10,_,不错,整体,正面
11,敷上,很清爽,使用体验,正面
11,_,油腻,使用体验,正面
11,_,不错,整体,正面
12,包装,一般,包装,中性
12,_,还行,整体,正面
13,质量,一般般,其他,中性
14,_,_,_,_
15,包装质量,回,包装,正面
15,块,小,包装,正面
15,块,掉,包装,正面
15,人,不爽,物流,负面
15,物流速度,快,物流,正面
16,_,好用,整体,正面
17,_,到,整体,中性
17,_,好,整体,正面
17,发货速度,快,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
19,_,不错,整体,正面
19,_,喜欢,整体,正面
19,_,大赞,整体,正面
19,_,很好,整体,正面
20,自然,不油腻,使用体验,正面
21,_,好评,整体,正面
21,_,挺好用的,整体,正面
22,_,最合适,价格,正面
22,_,比较干净,功效,正面
22,_,上,整体,正面
22,面奶,很适合,整体,正面
23,_,很贴肤,使用体验,正面
23,_,细腻,使用体验,正面
23,_,很不错,整体,正面
24,_,不错,整体,正面
25,_,优惠,价格,正面
25,质量,希望,其他,正面
26,_,贵了,价格,负面
26,_,有点干,使用体验,负面
26,天气,可以,整体,正面
26,_,很好用,整体,正面
27,真心,不错,整体,正面
28,_,油腻,使用体验,负面
28,效果,一般,功效,中性
29,_,很温和,使用体验,正面
29,仙女们,值得,整体,正面
29,仙女们,入手,整体,正面
29,仙女们,小,整体,正面
29,_,很好用,整体,正面
30,过会儿,自然,功效,正面
30,_,还可以,整体,正面
31,效果,不错,功效,正面
31,效果,非常好,功效,正面
32,卸妆,好,功效,正面
